time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-10-17T19:55:09Z,30.117672,31.348400,,23.837,,,0,network,,,,,,
2016-10-17T19:55:33Z,30.119132,31.350503,72.046214866242,12.0,52.67203,9.77716,12,gps,1.2,1.3,1.7,16.6,,
2016-10-17T19:55:44Z,30.119424,31.350986,65.60413937721003,8.0,67.20352,5.7477837,12,gps,0.8,1.3,1.7,16.6,,
2016-10-17T19:55:44Z,30.119097,31.350991,,22.706,,,0,network,,,,,,
2016-10-17T19:56:05Z,30.119299,31.352914,54.10242746639891,6.0,104.91019,8.474469,14,gps,0.6,1.1,1.5,16.6,,
2016-10-17T19:56:15Z,30.119081,31.353777,47.42045582881922,8.0,105.22464,10.368264,14,gps,1.0,1.2,1.6,16.6,,
2016-10-17T19:56:26Z,30.118881,31.354699,40.994179102263764,8.0,97.98725,4.160367,13,gps,0.8,1.3,1.7,16.6,,
2016-10-17T19:56:36Z,30.118695,31.355263,47.07594431833723,8.0,108.62278,9.029306,12,gps,0.8,1.7,2.1,16.6,,
2016-10-17T19:56:47Z,30.118445,31.356431,43.944037218992406,8.0,104.30418,10.874936,12,gps,1.4,2.3,2.7,16.6,,
2016-10-17T19:56:58Z,30.118325,31.357313,41.86564541158566,12.0,95.29167,4.1820555,13,gps,1.2,1.4,2.0,16.6,,
2016-10-17T19:57:09Z,30.118142,31.356441,,24.332,,,0,network,,,,,,
2016-10-17T19:57:09Z,30.117913,31.358228,,22.818,,,0,network,,,,,,
2016-10-17T19:58:21Z,30.114224,31.366470,41.143135341072295,32.0,139.87099,16.427835,7,gps,3.2,1.7,2.2,16.6,,
2016-10-17T19:58:32Z,30.113218,31.367643,46.35044178537266,12.0,138.74754,13.997835,10,gps,1.4,3.9,4.1,16.6,,
2016-10-17T19:58:43Z,30.112233,31.368570,60.60299945325719,8.0,138.98978,12.497145,10,gps,0.8,3.4,3.7,16.6,,
2016-10-17T19:58:54Z,30.111265,31.369556,72.16887028187043,8.0,138.85706,14.53444,11,gps,1.4,3.5,3.8,16.6,,
2016-10-17T19:59:05Z,30.110246,31.370650,76.25275356022436,8.0,138.06221,11.35899,13,gps,0.8,3.3,3.6,16.6,,
2016-10-17T19:59:16Z,30.109452,31.371356,70.87117692276207,8.0,142.1337,7.7319384,12,gps,1.2,2.5,2.8,16.6,,
2016-10-17T19:59:26Z,30.109136,31.371514,71.27337217679379,12.0,192.60544,0.0,12,gps,1.5,2.7,3.0,16.6,,
2016-10-17T19:59:37Z,30.108790,31.371368,71.3274309429402,12.0,212.64081,3.639373,8,gps,1.4,3.2,3.5,16.6,,
2016-10-17T19:59:48Z,30.108511,31.371211,76.01678158223,12.0,142.34982,2.21519,11,gps,1.2,2.4,2.7,16.6,,
2016-10-17T19:59:59Z,30.108301,31.371597,79.30657415321872,12.0,118.62618,3.8549922,9,gps,1.4,3.3,3.6,16.6,,
2016-10-17T19:59:58Z,30.108178,31.371718,,30.353,,,0,network,,,,,,
