30.11208,31.37328
30.1038,31.35689
30.09745,31.3456
30.0914,31.33483
30.08627,31.32573
30.08282,31.31985
30.08026,31.31591
30.07595,31.30797
30.07313,31.2999
30.07142,31.29504
30.0696,31.29114
30.0706,31.28941
30.07001,31.28979
30.06941,31.29081
30.07017,31.29329
30.07242,31.29878
30.07447,31.30475
30.07598,31.30897
30.0776,31.3126
30.07981,31.31584
30.08189,31.31855
30.08408,31.32231
30.08615,31.32598
30.0881,31.32941
30.09035,31.33359
30.09193,31.33647
30.09452,31.34103
30.09673,31.34489
30.09863,31.34854
30.10149,31.3536
30.1038,31.35774
30.10656,31.36313
30.10911,31.368
30.11234,31.37458
30.1146,31.37923
